ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT4G03950	0	0	0	0	0	0	0	0
AT4G03955	0	0	0	1.04	0	0	0	0
AT4G03960	5.75	9.92	10.99	7.71	3.82	7.74	12.04	11.7
AT4G03965	0	0	1.91	9.21	0.41	3.59	22.48	11.82
AT4G03970	0	0	0	0	0	0	0	0
AT4G03975	0	0	0	0	0	0	0	0
AT4G03976	0	0	0	0	0	0	0	0
AT4G03977	0	0	0	0	0	0	0	0
AT4G03978	0	0	0	0	0	0	0	0
AT4G03979	0	0	0	0	0	0	0	0
AT4G03980	0	0	0	0	0	0	0	0
AT4G03981	0	0	0	0	0	0	0	0
AT4G03985	0	0	0	0	0	0	0	0
AT4G03990	0	0	0	0	0	0	0	0
AT4G03995	0	0	0	1.16	0	0	0	0
AT4G04000	0	0	0	0	0	0	0	0
AT4G04005	0	0	0	0	0	0	0	2.81
AT4G04010	0	0	0	0	0	0	0	0
AT4G04015	0	0	0	0	0	0	0	0
AT4G04020	30.7	13.23	14.74	19.05	11.34	88.69	8.58	30.88
AT4G04025	0	0	0	0.28	0	0	0	1.54
AT4G04030	64.43	34.23	54.76	73.99	76.21	51.02	83.18	88.17
AT4G04035	0	0	0	0	0	0	0	0
AT4G04040	2.43	14.77	4.86	4.11	4.89	2.3	1.23	6.1
AT4G04050	0	0	0	0	0	0	0	0
AT4G04055	0	0	0	0	0.29	0	0	0
AT4G04065	0	0	0	0	0	0	0	0
AT4G04070	0	0	0	0	0	0	0	0
AT4G04075	0	0	0.51	0	0	0	0	1.75
AT4G04077	16.6	0	0.89	10.58	0	3.12	1.07	0
AT4G04078	0	0	0	0	0	0.39	0	0
AT4G04080	1.18	8.21	4.3	4.29	9.51	0.31	3.9	0.81
AT4G04085	0	0	0	0	0	0	0	0
AT4G04090	220.87	472.27	578.35	625.58	624.65	313.72	239.48	434.92
AT4G04095	0	0	0	0	0	0	0	0
AT4G04100	0	0	0	0	0	0	0	0
AT4G04105	0	0	0	0	0	0	0	0
AT4G04110	0	0	0	0	0	0	0	0
AT4G04115	0	0	0	0	0	0	0	0
AT4G04120	0	0	0	0.32	0	0	0	0
AT4G04125	0	0	0	0	0	0	0	0
AT4G04130	0	0	0	0	0	0.22	0.19	0.12
AT4G04135	0	0	0.77	1.25	0	0	0	4.34
AT4G04140	0	0	0	0	0	0.16	0	0.05
AT4G04145	0	0	0	0	0	0	0	0
AT4G04150	0	0	0	0	0	0	0.13	0
AT4G04155	0	0	0	0	0	0	0	0
AT4G04157	0	0	0	0	0	0	0	0
AT4G04165	0	0	0	0	0	0	0	0
AT4G04167	0	0	0	0	0	0	0	0
AT4G04170	0	0	0	0	0	0	0	0
AT4G04175	0	0	0	0	0	0	0	0
AT4G04180	13.71	2.84	3.27	9.1	14.32	7.33	4.43	9.99
AT4G04185	0	0	7.78	0	0	0	0	9.11
AT4G04190	17.66	13.25	6.13	8.16	20.99	23.92	17.98	21.97
AT4G04195	0	0	0	0	0	0	0	0
AT4G04200	33.06	44.31	18.43	24.51	16.46	30.63	25.45	26.89
AT4G04205	23.66	11.18	7.25	11.84	2.79	0	6.87	5.42
AT4G04210	15.46	22.74	13.19	25.49	18.03	27.24	15.8	19.4
AT4G04215	0	0	0.57	0	0	0	0	0
AT4G04220	0	0	0	0.22	0	0.3	0	0.18
AT4G04221	1.62	0.64	1.18	0.65	1.25	0.65	1.47	0.72
AT4G04223	87.98	88.81	37.19	118.55	78.44	72.57	69.12	42.54
AT4G04225	1.12	1.41	0.91	0	0	0.58	0.87	1.54
AT4G04230	0	0	0	0	0	0	0	0
AT4G04235	0	0	0	0	0	0	0	0
AT4G04245	0	0	0	0	0	0	0	0
AT4G04250	0	0	0	0	0	0	0	0
AT4G04255	0	0	0	0	0	0	0	0
AT4G04260	0	0	0	0.39	0	0.74	0	0
AT4G04265	0	0	0	0	0	0	0	0
AT4G04270	0	0.11	0	0	0	0.01	0	0
AT4G04273	0	0	0	0	0	0	0	0
AT4G04275	0	0	0	0	0	0	0	0
AT4G04276	0	0	0	0	0	0	0	0
AT4G04280	0	0	0	0	0	0	0	0
AT4G04285	17.84	2.25	16.83	26.6	21.87	16.82	16.33	15.72
AT4G04290	0	0	0	0	0	0	0	0
AT4G04293	0	1.11	0	0	0	0	0	0
AT4G04295	0	0	0	0	0	0	0	0
AT4G04296	0	0	0	0	0	0	0	0
AT4G04300	0	0	0	0	0	0	0	0
AT4G04305	0	0	0	0	0	0	0	0
AT4G04310	0	0	0	0.04	0	0	0	0
AT4G04313	0.05	0.13	0	0	0	0	0	0
AT4G04315	0	0	0	0.27	0	0.42	0	0
AT4G04316	0	0.26	0.33	0.18	0.13	0	0.42	0.31
AT4G04320	2.25	4.87	2.49	1.93	0.12	1.77	0.48	1.71
AT4G04325	0	0	0	0	0	0	0	0
AT4G04330	8.96	8.21	1.96	6.47	7.75	3.16	4.31	2.71
AT4G04335	0	0	0	0	0	0	0	0
AT4G04340	30.64	22.79	10.58	15.76	12.24	15.83	10.85	18.65
AT4G04345	0	0	0	0	2.7	0	0	0
AT4G04350	18.61	8.69	3.42	5.01	2.71	9.03	3.4	6.98
AT4G04355	0	0	0	0	0	0	0	0
AT4G04360	2.31	1.94	0	2.79	3.28	2.4	1.79	2.47
AT4G04365	0	0	0	0	0	0	0	0
AT4G04370	0	0.5	0.08	0.71	0	2.96	0.15	0.18
AT4G04375	0	0	0	0	0	0.21	0	0
AT4G04380	0	0	0	0	0	0	0	0
AT4G04385	0	0	0	0	0	0	0	0
AT4G04390	0	0	0	0	0	0	0	0
AT4G04392	0	0	0	0	0	0	0	0
AT4G04393	0	0	0	0	0	0	0	0
AT4G04394	0	0	0	0	0	0	0	0
AT4G04395	0	0	0	0	0	0	0	0
AT4G04396	0	0	0	0	0	0	0	0
AT4G04398	0	0	0	0	0	0	0	0
AT4G04400	0	0	0	0	0	0	0	0
AT4G04402	0	2.04	0	0.92	0	0	0.36	0
AT4G04404	0	0	0	0	0	0	0	0
AT4G04405	0	0	0	0	0	0	0	0
AT4G04407	0	0	0	0	0.34	0.19	0	0
AT4G04408	0	0	0	0	0	0	0	0
AT4G04409	0	0	0	0	0	0	0	0
AT4G04410	0	0	0.17	0	0	0	0	0
AT4G04415	0	0	0	0	0	0	0	0
AT4G04420	0	0	0	0	0	0	0	0
AT4G04423	0	0	0	0	0	0	0	0
AT4G04425	0	0	0	0	0	0	0	0
AT4G04426	0	0	0	0	0	0	0	0
AT4G04430	0	0	0	0	0	0	0	0.1
AT4G04435	1.21	2.7	3.53	6.72	5.28	5.55	1.35	6.45
AT4G04440	0	0	0	0	0	0	0	0
AT4G04445	3.33	9.77	2.09	2.85	0	4.47	8.01	3.95
AT4G04450	0	0	0	0	0	0	0.07	0
AT4G04455	0	0	0	0	0	0	1.16	0
AT4G04460	0.27	0.18	0.62	0.26	0	0.28	0	0.36
AT4G04465	8.11	0	8.35	3.6	19.14	5.61	0	4.95
AT4G04470	20.35	10.45	12.4	16.23	18.41	16.25	17.14	13
AT4G04475	4.05	10.21	3.33	10.87	0	4.21	6.28	7.43
AT4G04480	0.38	0	0	0	0	0.19	0	0.17
AT4G04485	14.19	5.1	6.59	9.42	1.91	10.52	4.71	24.14
AT4G04490	0	0	0	0	0	0	0	0
AT4G04495	0	0	0	0	0	0	0	0
AT4G04500	0	0	0	0	0	0	0	0
AT4G04505	0	0	0	0	0	0	0	0
AT4G04510	0	0	0	0	0	0.1	0	0
AT4G04515	0	0	0	0	0	0	0	0
AT4G04520	0	0	0	0	0	0	0	0
AT4G04525	0	0	0	0	0	0	0	0
AT4G04530	0	0	0	0	0	0	0	0
AT4G04535	0	0	0	0	0	0.62	0	0
AT4G04540	0.18	0.46	0	0.18	0.09	0.1	0.08	0.19
AT4G04545	0	0	0	0	0	0	0	0
AT4G04547	0	0	0	0	0	0	0	0
AT4G04550	0	0	0	0	0	0	0	0
AT4G04555	0	0	0	0	0	0	0	0
AT4G04560	0	0	0	0	0	0	0	0
AT4G04565	208.96	216.54	78.86	72.07	96.32	35.56	135.85	66.12
AT4G04570	0	0	0.23	0.25	0	0	0	0
AT4G04580	0	0	0	0.55	0	0	0	0
AT4G04585	0.62	0	0	0	0	0.64	0	0
AT4G04590	0	0	0	0	0	0	0	0.35
AT4G04595	165.85	250.58	120.16	90.3	102.74	73.66	116.03	69.52
AT4G04600	0	0	0	0	0	0	0	0.1
AT4G04601	0	0	0	0	0	0	0	0
AT4G04605	0	0	0	0	0	0	0	0
AT4G04610	28.22	19.88	47.73	44.45	34.27	71.98	68.97	103.84
AT4G04614	55.87	50.68	27.91	40.53	23.48	34.86	33.75	39.91
AT4G04615	85.19	0	87.52	85.23	92.69	94.91	65.68	79.27
AT4G04620	35.08	26.06	51.84	20.13	28.91	11.43	4.94	8.27
AT4G04625	0	0	0	0	0	0	0	0
AT4G04630	0	0	0	1.32	0	0	0	0
AT4G04632	0	0	0	0	0	0	0	0
AT4G04635	0	0	0	0	0	0	0	0
AT4G04640	0.15	0	13.89	32.79	0.56	0.61	6.96	2.83
AT4G04645	0	0	0	0	0	0	0	0
AT4G04650	0.91	0	0	0	0	0	0	0
AT4G04653	0	0	0	0	0	0	0	0
AT4G04655	0	0	0	0	0	0	0	0
AT4G04660	0	0	0	0	0	0	0	0
AT4G04665	0	0	0	0	0	0	0	0
AT4G04670	8.81	4.28	2.74	4.64	8.02	6.24	2.78	4.13
AT4G04675	0	0	0	0	1.65	0	0	0
AT4G04680	2.62	0	0	0.68	0.25	1.19	0	0.48
AT4G04690	0	0	0	0	0	0	0	0
AT4G04692	2.9	1.79	7.59	59.53	0	8.54	14.65	14.41
AT4G04693	0	0	0	0	0	0	0	0
AT4G04695	0	0	0	0.16	0	0.37	0.19	0.66
AT4G04700	5.04	0.93	1.19	2.67	0.81	2.55	2.86	2.59
AT4G04710	0	0	0.24	0	0	0.13	0	0
AT4G04720	21.74	18.04	18.84	25.9	9.78	26.01	19.91	22.81
AT4G04730	0	0	0	0	0	0	0	0
AT4G04740	1.29	1.62	0.16	0.76	1.67	2.35	0.63	1.58
AT4G04745	0	0	0	0	0	0.57	0	0.25
AT4G04750	0.11	0	0.41	0.16	0	0.13	0	0
AT4G04755	0	0	0	0	0	0	0	0
AT4G04760	0	0	0.46	0.34	0	0.73	0.38	0.3
AT4G04765	0	0	0	0	0	0	0	0
AT4G04770	5.09	4.41	5.86	12.07	0.9	7.35	6.32	9.03
AT4G04775	0	0	0	0	0	0	0	0
AT4G04780	55.15	64.71	54.33	57.78	63.6	61.78	83.87	78.18
AT4G04785	0	0	0	0	0	0	0	0
AT4G04790	2.51	1.26	0.34	2.37	0.55	0.87	0.84	1.07
AT4G04795	0	0	0	0	0	0	0	0
AT4G04800	31.57	14.49	13.81	16.75	7.08	17.5	16.17	9.07
AT4G04805	0	0	0	0	0	0	0	0
AT4G04810	0	0	7.98	0	0	0	0.44	0
AT4G04815	0	0	0	0	0	0	0	0
AT4G04820	0	0	0	0	0	0	0	0
AT4G04825	0	0	0	0	0	0	0	0
AT4G04830	0.3	10.93	79.03	24.71	0	2.79	0	3.38
AT4G04835	0	0	0	0	0	0	0	0
AT4G04840	0	0	0	0	0	0	0	0
AT4G04845	0	0	0	0	0	0	0	0
AT4G04850	0.73	0.28	0.84	1.46	0.35	0.61	0.52	1.56
AT4G04855	0	0	0	0	0	0	0	0
AT4G04860	20.08	16.42	20.87	31	29.21	32.75	32.86	32.07
AT4G04865	0	0	0	0	0	0	0	0
AT4G04870	23.66	16.74	16.29	19.53	13.79	11.54	16.58	17.34
AT4G04875	0	0	0	0	0	0	0	0
AT4G04880	10.2	2.5	6.54	8.01	3.59	8.3	6.16	7.14
AT4G04885	13.4	10.45	7.18	13.48	6.55	11.01	8.06	11.53
AT4G04890	25.56	41.57	113	159.42	105.02	110.16	77.51	151.26
AT4G04895	0	0	0	0	0	0	0	0
AT4G04900	0	0	0	0	0.18	0	0	0
AT4G04905	0	0	0	0	0	0	0	0
AT4G04910	11.9	14.88	4.86	5.77	5.31	7.18	1.74	5.3
AT4G04915	0	0	0	0	0	0	0	0
AT4G04920	5.45	4.83	3.33	4.57	4.81	3.72	3.51	3.74
AT4G04925	25.64	36.5	38.38	33.56	38.25	18.52	36.27	29.96
AT4G04930	7.55	2.56	5.01	7.15	7.77	3.59	1.34	1.86
AT4G04940	22.45	15.04	14.24	21.13	19.29	19.49	17.81	21.08
AT4G04945	0	0	0	0	0	0	0	0
AT4G04950	32.66	36.39	30.23	48.07	43.97	33.33	34.53	42.35
AT4G04955	0.13	0.49	3.45	1.19	0	0.67	1	0.47
AT4G04957	0	0	0	0	0	0	0	0
AT4G04960	0.87	0.61	0.79	0.71	0.09	0.6	0	0.18
AT4G04965	0	0	0	0	0	0	0	0
AT4G04970	0.72	3.14	2.51	1.69	1.61	1.77	1.21	1.96
AT4G04972	0	1.19	1.2	0.59	0	0.66	0	0
AT4G04975	0	0	0	0	0	0	0	0
AT4G04980	0	0.13	0.07	0.48	0	0	0	0
AT4G04985	0	0	0.8	1.63	0	0	0	0
AT4G04990	0	0	0	0	0	0	0	0
AT4G04995	0	0	0	0	0	0	0	0
AT4G05000	4.06	3.62	11.72	10.24	4.68	8.57	12.21	12.71
AT4G05005	0	0	0	0	0	0	0	0
AT4G05010	0.43	0	6.71	1.26	0	2.21	0.83	0.59
AT4G05015	0	0	0	0	0	4.99	0	0
AT4G05018	0	0	0.16	0	0	0.2	0.15	0.35
AT4G05020	26.36	27.22	14.69	16.63	28.03	21.1	3.35	10.06
AT4G05025	0	0	0	0	0	0	0	0
AT4G05030	0.56	0	0	0	0	0	0	0
AT4G05040	2.36	1.37	1.08	1.14	2.23	1.35	1.2	3.49
AT4G05045	0	0	0	0	0	0	0	0
AT4G05048	0	0	0	0	0	0	0	0
AT4G05049	0	0	0	1.17	0	0	0	0
AT4G05050	346.81	588.77	1686	718.15	466.08	756.54	721.16	622.17
AT4G05053	13.34	1.29	0.41	3.73	0	5.09	1.65	3.29
AT4G05055	0	0	0	0	0	0	2.79	0
AT4G05060	11.58	12.27	4.44	5.39	6.27	9.68	4.05	5.56
AT4G05065	0	0	0	0	0	0	0	0
AT4G05070	88.25	70.03	29.21	9.02	23.34	45.82	8.89	15.36
AT4G05071	4.02	0	0	0	0	0	0	0
AT4G05073	0	0	0	0	0	0	0	0
AT4G05075	0	0	0	0	0	0	0	0
AT4G05076	0	0	0	0	0	0	0	0
AT4G05080	0	0	0	0	0	0	0	0
AT4G05085	0.51	0	0	0	0	0	0	0
AT4G05087	0	0	0	0	0	0	0	0
AT4G05090	3.7	12.51	7.19	7.65	6.36	8.04	3.78	8.02
AT4G05091	0	0	1.95	0	0	0	0	1.47
AT4G05095	0	0	0	0	0	0.59	0	0
AT4G05097	0	0	0	0	0	0	0	0
AT4G05100	0	0	0.14	0	0	0	0	0
AT4G05105	0	0	0	0	0	0	0	0
AT4G05110	0.19	0.27	0	0.94	0	0	0	0
AT4G05115	7	3.78	13.75	13.88	3.78	0	3.87	7.32
AT4G05120	2.54	0.24	0.99	0.93	0	0	0	0
AT4G05125	0	0	0	0	0	0	0	0
AT4G05130	0	0	0	0	0	0.12	0.18	0
AT4G05133	0	0	0	0	0	0	0	0
AT4G05135	0	0	0	0.69	0.99	0	0.41	0
AT4G05140	0	0	0	0	0	0	0	0
AT4G05145	1.05	0	0	0.23	0	0.73	0	0
AT4G05150	4.46	10.94	2.62	4.05	2.28	6.76	1.49	5.74
AT4G05155	0.57	0	0	0.76	0	0.59	0.44	0.52
AT4G05160	0	0	1.88	2.07	0	2.63	1.49	1.11
AT4G05170	0	0	0	0	0	0	0	0
AT4G05175	969.84	0	1.57	43.1	227.94	65.69	22.26	211.82
AT4G05180	0.21	0.53	43.79	37.02	0.8	0.44	3.91	0.58
AT4G05185	358.75	0	1.05	14.26	98.49	29.1	3.32	47.63
AT4G05190	11.65	11.47	15.53	19.61	25.65	18.23	17.45	26.57
AT4G05195	0	0	0	0	0	0	0	0
AT4G05200	0.85	1.2	0.85	0.75	2.02	1.43	0.72	3.93
AT4G05205	0	0	0	0	0	0	0	0
AT4G05210	3.79	0.39	2.48	5.21	0.23	8.03	4.62	5.62
AT4G05215	0	0	0	0	0	0	0	0
AT4G05220	0	0	0	0	0	0	0	0
AT4G05225	0	0	0	0	0	0	0	0
AT4G05230	0	0	0	0	0	0	0	0
AT4G05235	0	3.88	0	0	0.59	0	0	0
AT4G05240	0	0	0	0	0	0	0	0
AT4G05245	0	0	0	0	0	0	0	0
AT4G05250	0	0	1.34	0.16	0	0	0	0.43
AT4G05255	0	0	0	0	0	0	0	0
AT4G05260	0	0	0	0	0	0	0	0
AT4G05270	0	0	0	0	0	0	0	0
AT4G05275	0	0	1.72	0	0	0	0.82	1.95
AT4G05280	0	0	0	0	0	0	0	0
AT4G05285	0	0	1.33	0.69	0	0	0	0
AT4G05290	0	0	0	0	0	0	0	0
AT4G05295	0	0	0	0	0	0	0	0
AT4G05300	0	0	0	0	0	0	0	0
AT4G05303	0	0	0	0	0	0	0	0
AT4G05305	0	0	0	0	0	0	0	0
AT4G05306	0	0	0	0	0	0	0	0
AT4G05310	0	0	0	0	0	0	0	0
AT4G05315	0	0	0	0	0	0	0	0
AT4G05320	925.2	1462.16	1335.38	1676.77	1434.66	1737.88	716.25	1424.03
AT4G05330	3.2	2.7	1.48	1.37	0.41	0.67	0.5	0.88
AT4G05335	0	0	0	0	0	0	0	0
AT4G05340	0	0	0	0	0	0	0	0
AT4G05350	0	0	0	0	0	0	0	0
AT4G05355	0	0	0	0	0	0	0	0
AT4G05360	0.2	0	0	0	0.76	0.1	0	0
AT4G05365	0	0	0	0	0	0	0	0
AT4G05375	0	0	0	0	0	0	0	0
AT4G05380	0.13	0	0.11	0.35	0.13	0	0	0
AT4G05385	0	0	0	0	0	0	0	0
AT4G05390	13.69	21	32.48	42.12	28.2	26.87	20.66	29.86
AT4G05395	0	0	0	0	0	0	0	0
AT4G05400	58.15	84.71	65.37	84.15	58.89	59.82	94.71	107.24
AT4G05405	0.36	0	0.29	0	0	0	0	0
AT4G05410	59.49	38.78	40.12	45.28	50.94	42.3	34.78	45.69
AT4G05415	0	0	0	0	0	0	0	0
AT4G05420	15.32	18.56	14.27	12.5	9.57	10.46	10.51	10.25
AT4G05425	0	0	0	0.61	0	0	0	0
AT4G05430	0	0	1	0	0	0	0	0
AT4G05435	0	0	0	0.85	0	0	0	0
AT4G05440	40.69	49.54	36.46	30.89	27.47	29.43	23.24	34.05
AT4G05445	0	0	0	0	0	0	0	0
AT4G05450	1.72	1.5	5.45	4.97	2.64	1.45	6.4	3.54
AT4G05455	0	0	0	0	0	0	0	0
AT4G05460	73.72	52.27	49.44	51.18	49.74	66.5	59.44	63.96
AT4G05465	0	0	0	0	0	0	0	0
AT4G05470	0	0	1.33	0	0	0	0	0
AT4G05475	0	0	0	0.16	0	0.25	0	0
AT4G05485	0	0	0	0	0	0	0	0
AT4G05490	1.48	1.24	0.2	0	0	0	0	0.68
AT4G05495	0.54	0	0	0	0	0	0	0
AT4G05497	0.24	0	0	0	0	0	0	0
AT4G05500	2.39	2.9	2.71	1.87	2.09	3.22	2.33	2.84
AT4G05502	0	0	0	0	0	0	0	0
AT4G05505	0	0	0	0	0	0	0	0
AT4G05508	0	0	0	0	0	0	0	0
AT4G05510	0.81	0	0	0.24	0	0	0	0.17
AT4G05520	17.67	22.98	9.99	22.52	21.9	26.45	20.18	29.55
AT4G05523	0	0	0	0	0	0	0	0
AT4G05525	0	0	0.24	3.29	0	0	1.82	0.63
AT4G05526	0	0	0	0	0	0	0	0
AT4G05530	24.23	24.24	38.8	31.15	34.15	30.32	20.69	25.08
AT4G05535	0	0	0	0	0	0	0.4	0
AT4G05540	0.76	0	0	0	0	0	0	0
AT4G05545	0	0	0	0	0	0	0	0
AT4G05550	0	0	0	0	0	0	0	0
AT4G05553	0	0	0	0	0	0	0	0
AT4G05555	0	0	0	0	0	0	0	0
AT4G05556	0	0	0	0	0	0	0	0
AT4G05560	0	0	0	0	0	0	0	0
AT4G05565	0	0	0	0	0	0	0	0
AT4G05570	0.79	0	0	0	0	0	0	0
AT4G05575	0	0	0	0	0	0	0	0
AT4G05580	0	0	0	0	0	0	0	0
AT4G05581	0	0	0	0	0	0	0	0
AT4G05582	0	0	0	0	0	0	0	0
AT4G05583	0	0	0	0	0	0	0	0
AT4G05584	0	0	0	0	0	0	0	0
AT4G05585	0	0	0	0	0	0	0	0
AT4G05586	0	0	0	0	0	0	0	0
AT4G05587	0	0	0	0	0	0	0	0
AT4G05588	0	0.32	0	0	0	0	0	0
AT4G05589	0	0	0	0	0	0	0	0
AT4G05590	0	0	2.42	1.38	2.55	0.31	0	0.55
AT4G05591	0	0	0	0	0	0	0	0
AT4G05592	0	0	0	0	0	0	0	0
AT4G05593	0	0	0	0	0	0	0	0
AT4G05594	0	0	0	0	0	0	0	0
AT4G05595	0	0	0	0	0	0	0	0
AT4G05597	0	0	0	0	0	0	0	0
AT4G05600	0	0	0	0	0	0	0	0
AT4G05605	0	0	0	0	0	0	0	0
AT4G05610	0	0	0	0	0	0	0	0
AT4G05612	0	0	0	0	0	0	0	0
AT4G05613	0	0	0	0	0	0	0	0
AT4G05615	0	0	0	0	0	0	0	0
AT4G05616	0	0	0	0	0	0	0	0
AT4G05620	0	0	0	0	0	0	0	0
AT4G05625	0	0	0	0	0	0	0	0
AT4G05630	0	0	0	0	0	0	0	0
AT4G05631	0.78	0	0	0.17	0	0.54	0.2	0.47
AT4G05632	0	0	0	0	0	0	0	0
AT4G05633	0	0	0	0	0	0	0	0
AT4G05634	0	0	0	0.11	0	0	0	0
AT4G05635	0.15	0	0	0	0	0	0	0
AT4G05636	0	0	0	0	0	0	0	0
AT4G05638	0	0	0	0	0	0	0	0
AT4G05640	0	0	0	0	0	0	0	0
AT4G05645	0	0	0	0	0	0	0	0
AT4G05650	0	1.56	1.38	1.64	0	0	0.96	0
AT4G05655	0	0	0	0	0	0	0	0
AT4G05660	0	0	0	0.83	0	0	0	0
AT4G05665	0	0	0	0	0	0	0	0
AT4G05670	0	0	0	0	0	0	0	0
AT4G05675	0	0	0	0	0	0	0	0
AT4G05680	0	0	0	0	0	0	0	0
AT4G05685	0.34	0	0	0	0	0	0.51	0.3
AT4G05690	0	0	0	0	0	0	0	0
AT4G05695	0	0	0	0	0	0	0	0
AT4G05700	0	0	0	0	0	0	0	0
AT4G05705	0	0	0	0	0	0	0	0
AT4G05710	0	0	0	0	0	0	0	0
AT4G05715	1.59	2	0.32	1.57	1.88	1.24	2.77	2.19
AT4G05720	0	0	0	0	0	0	0	0
AT4G05730	0	0	0	0	0	0	0	3.87
AT4G05735	0	0	0	0	0	0	0	0
AT4G05740	0	0	0	0	0	0	0	0
AT4G05745	0	0	0	0	0	0	0	0
AT4G05750	0	0	0	0	0	0	0	0
AT4G05755	0	0	0	0.31	0	3.03	0	1.23
AT4G05760	0	0	1.32	0	0	0	0	0
AT4G05765	0	0	0	0	0	0	0	0
AT4G05770	0	0	0	0	0	0	0	0
AT4G05775	0	0	0	0	6.97	0	0	0
AT4G05780	0	0	0	0	0	0	0	0
AT4G05785	0	0	0	0	0	3.37	0	0
AT4G05790	0	0	0	0	0	0	0	0
AT4G05795	0	0	0	0	0	0	0	0
AT4G05800	0	0	0	0	0	0	0	0
AT4G05805	0	0	0	0	0	0	0	0
AT4G05810	3.3	0	0.89	2.91	0	2.28	5.11	1.01
AT4G05815	0	0	0	0	0	0	0	0
AT4G05835	0	0	0	0.21	0	0.33	0	0.29
AT4G05840	0	0	0	0	0	0	0	0
AT4G05845	0	0	0	0	0	0	0	0
AT4G05850	0	0	0	0	0	0	0	0
AT4G05855	0	0	0	0	0	0	0	0
AT4G05860	0	0	0	0	0	0	0	0
AT4G05865	0	0	0	0	0	0	0	0
AT4G05870	0	0	0	0	0	0	0	0
AT4G05875	0	0	0	0	0	0	0	0
AT4G05880	0	0	0	0	0	0	0	0
AT4G05885	0	0	0	0	0	0	0	0
AT4G05890	0	0	0	0	0.59	0	0	0
AT4G05895	0	0	0	0	0	0	0	0
AT4G05900	0	0	0	0	0	0	0	0
AT4G05905	0	0	0	0	0	0	0	0
AT4G05910	0	0	0	0	0	0	0	0
AT4G05915	0	0	0	0	0	0.99	0	0
AT4G05918	0	0	0	0	0	0	0	0
AT4G05920	0	0	0	0.5	0	0	0	0
AT4G05925	0	0	0	0	0	0	0	0
AT4G05930	0	0	0	0	0	0	0	0
AT4G05935	2.68	0	1.05	1.04	2.15	9.84	0	3.37
AT4G05940	0	0	0	0	0	0	0	0
AT4G05945	0	0	0	0	0	0	0	0
AT4G05950	0	0	0	0	0	0	0	0
AT4G05965	0	0	0	0.47	0	0	0	0
AT4G05970	0	0	0	0	0	0	0	0
AT4G05975	0	0	0	0	0	0	0	0
AT4G05980	0	0	0	0	0	0	0	0
AT4G05985	0	0	0	0	0	0	0	0
AT4G05990	0	0	0	0	0	0	0	0
AT4G05995	0	0	0	0	0	0	0	0
AT4G06000	0	0	0	0	0	0	0	0
AT4G06005	0	0	0	0	0	0	0	0
AT4G06010	0	0	0	0	0	0	0	8.85
AT4G06015	24.56	0	0	0	13.08	0	3.46	12.28
AT4G06020	0	0	0	0	0	0	0	0
AT4G06025	0	0	0	0	0	0	0	0
AT4G06030	0	0	0	0	0	0	0	0
AT4G06035	1.88	0	0.56	0.46	0	0	0	0
AT4G06040	0.45	0	0	0	0	0	0	0
AT4G06045	0	0	0	0	0	0.82	0	0.36
AT4G06050	0	0	0	0	0	0	0	0
AT4G06055	0	0	0	0	1.39	0	0	0
AT4G06060	0	0	0	0	0	0	0	0
AT4G06065	0	0	0	0	0	0	0	0
AT4G06070	0	0	0	0	0	0	0	0
AT4G06075	0	0	0	0	0	0	0	0
AT4G06080	0	0	0	5.97	4.26	3.51	2.62	0
AT4G06085	0	0	0	0	0	0	0	0
AT4G06090	0	0	0	0	0	0	0	0
AT4G06095	0	0	0	0	0	0	0	0
AT4G06105	0	0	0	0	0	0	0	0
AT4G06110	0	0	0	0	0	0	0	0
AT4G06115	0	0	0	0	0	0	0	0
AT4G06120	0	0	0	0	0	0.79	0	0
AT4G06130	0	0	0	0	0	0	0	0
AT4G06135	0	0	0	0	0	0	0	0
AT4G06140	0	0	0	0	0	0	0	0
AT4G06145	0	0	0	0	0	0	0	0
AT4G06150	0.66	0	0	0	0	0	0	0
AT4G06155	0	0	0	0	0	0	0	0
AT4G06160	0	0	0	0	0	0	0	0
AT4G06165	0	0	0	0	0	0	0	0
AT4G06170	0	0	0	0	0	0	0	0
AT4G06175	0	0	0	0	0	0	0	0
AT4G06180	0.36	0	0	0	0	0.37	0	0.33
AT4G06185	0	0	0	0	0	0	0	0
AT4G06195	0	0	0	0	0	0	0	0
AT4G06196	0	0	0	0	0	0	0	0
AT4G06200	0	0	0	0	0	0	0	0
AT4G06205	0	0	0	0	0	0	0	0
AT4G06210	0	0	0	0	0	0	0	0
AT4G06215	0	0	0	0	0	0	0	0
AT4G06220	0	0	0	0	0	0	0	0
AT4G06225	2	2.37	0.65	0.49	3.32	3.2	0.48	0
AT4G06235	0	3.84	0	0	0	0	0	0
AT4G06240	41.95	4.37	26.2	0	30.05	4.57	0	0
AT4G06245	0	0	0	0	0	0	0	0
AT4G06250	0	4.03	0	0.68	4.82	1.1	1.44	0
AT4G06255	1.28	0	0	10.26	0	8.91	0	9.52
AT4G06260	0	0	9.53	0	0	0	0	0
AT4G06265	0.49	0	0	0.5	0.61	0.32	1	0
AT4G06275	2.94	0	0.62	0.95	1.24	2.38	0.7	1.4
