ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT1G03620	0.34	0	0	0.43	0	0.18	0	0
AT1G03630	10.1	31.06	14.58	33.51	8.15	41.44	4.92	20.74
AT1G03640	0	0	0.64	0.24	0.71	0.64	0.59	0.7
AT1G03650	25.28	18.01	18.95	14.98	21.47	14.05	14.05	12.87
AT1G03660	8.01	0	12.79	2.28	12.8	7.77	2.23	3.51
AT1G03670	0	0	0.19	0	0	0	0	0
AT1G03680	68.53	88.2	107.79	181.63	71.75	91.19	189.94	132.44
AT1G03687	19.27	13.39	17.65	24.77	27.22	23.68	24.24	25.84
AT1G03700	0	0	0	0	0	0	0	0
AT1G03710	89.03	137.88	88.32	111.23	96.73	105.18	72.82	85.55
AT1G03720	1.26	0.95	2.65	1.83	2.39	3.67	2.54	1.39
AT1G03730	2.48	1.7	8.85	3.27	1.84	3.49	2.06	1.78
AT1G03740	1.84	4.23	1.91	1.64	0.63	2.74	0.58	2.15
AT1G03743	14.27	0	7.84	0	0	4.94	11.06	0
AT1G03746	30.64	33.08	32.39	5.88	28.94	0	0	0
AT1G03750	2.36	1.93	0.66	1.41	0	1.37	0.64	0.69
AT1G03760	42.15	41.1	14.89	30.3	36.52	40.73	18.71	36.93
AT1G03770	0.76	0.73	1.38	2.58	3.01	3.81	2.18	1.79
AT1G03780	17.94	12.21	18.44	23.31	38.34	36.86	19.25	36.67
AT1G03790	0	0	0.19	0	0	0.25	0	0
AT1G03800	0.18	0	2.27	2.08	0	0.55	0	0
AT1G03810	0	0	0	0	0	0	0	0
AT1G03820	0	0	1.45	5.94	0	0	0	0
AT1G03830	14.7	8.84	3.22	6.37	3.31	8.54	3.37	8.26
AT1G03840	0	0	0.23	0	0	0	2.33	0.77
AT1G03850	0	0	0.74	0.4	0	0	0	0
AT1G03860	255.83	288.81	157.6	133.55	213.93	217.43	148.98	197.01
AT1G03870	0	0	2.34	4.47	0	0	0	0
AT1G03880	6.85	6.38	0.22	0	0	2.28	0	0.13
AT1G03890	0	0.56	0	0	0	0	0	0
AT1G03900	30.18	51.29	37.67	48.62	20.6	36.05	18.73	29.14
AT1G03905	8.5	14.01	2.56	7.04	10.48	22.24	2.97	9.56
AT1G03910	34.26	26.8	14.78	27.68	26.64	37.2	17.62	26.09
AT1G03920	1.57	0.4	0.17	0.74	1.07	2.64	0.25	1.09
AT1G03930	7.94	8.09	2.37	7.56	1.3	11.44	3.2	6.39
AT1G03935	0	0	0	0	1.99	0	0	1.93
AT1G03940	1.59	1.58	1.45	0.5	0.9	1.1	0.72	1.28
AT1G03950	5.54	7.81	3.93	7.88	0.63	3.45	1.03	4.46
AT1G03960	2.78	8.49	3.88	7.04	6.23	8.65	3.86	9.9
AT1G03970	30.09	27.99	16.49	17.62	20.06	46.14	13.56	29.52
AT1G03980	0.57	0.24	1.38	3.01	1.8	0.59	1.18	4.36
AT1G03982	0	0	0	0	0	0	0	0
AT1G03987	0	0	0	0	0	0	0	0
AT1G03990	0	0.23	0	0	0.26	0.58	0	0.43
AT1G03993	0	0	0	0	0	0	0	0
AT1G03997	0	0	0	0	0	0	0	0
AT1G04000	33.22	29.09	38.25	33.24	33.56	49.8	30.82	34.34
AT1G04003	0	0	0	0	0	0	0	0
AT1G04007	0	0	0	0	0	0	0	0
AT1G04010	6.31	12.35	3.15	2.63	4.24	9.15	3.09	2.74
AT1G04013	0	0	0	0	0	0	0	0
AT1G04017	0	0	0	0	0	0	0	0
AT1G04020	16.95	8.02	2.24	8.32	7.45	13.22	8.82	8.79
